Species name	Mean	group
Methylobacterium	85.98	Control
Staphylococcus	2.958	Control
Aureimonas	2.73	Control
Serratia	0.7252	Control
Curtobacterium	0.6926	Control
unclassified_f__Aurantimonadaceae	0.6356	Control
Brevibacterium	0.4482	Control
Pseudomonas	0.3667	Control
Acinetobacter	0.3341	Control
Kineococcus	0.2445	Control
Brucella	0.2119	Control
Sphingomonas	0.2119	Control
unclassified_k__norank	0.08963	Control
norank_f__Bacteroidales_S24-7_group	0.03259	Control
Lachnospiraceae_NK4A136_group	0.02445	Control
Methylobacterium	30.26	TiO2NPs
Staphylococcus	21.44	TiO2NPs
Aureimonas	12.06	TiO2NPs
Serratia	0.4156	TiO2NPs
Curtobacterium	1.467	TiO2NPs
unclassified_f__Aurantimonadaceae	0.3993	TiO2NPs
Brevibacterium	1.622	TiO2NPs
Pseudomonas	2.461	TiO2NPs
Acinetobacter	1.133	TiO2NPs
Kineococcus	0.986	TiO2NPs
Brucella	1.125	TiO2NPs
Sphingomonas	1.459	TiO2NPs
unclassified_k__norank	0.9615	TiO2NPs
norank_f__Bacteroidales_S24-7_group	1.084	TiO2NPs
Lachnospiraceae_NK4A136_group	2.053	TiO2NPs
